Feature,Scores_int
Intercept,344
grade:A,78
grade:B,54
grade:C,38
grade:D,27
grade:E,17
grade:F,8
home_ownership:RENT_NONE_OWN,-13
home_ownership:MORTGAGE,0
home_ownership:ANY,-5
addr_state:AL_AR_MS_OK_LA_NV_NM_HI,-10
addr_state:NY,-7
addr_state:SD,-5
addr_state:FL,-7
addr_state:MO_MD_NC_PA_KY_TN,-4
addr_state:CA,-4
addr_state:NJ_MI_VA_MN_AK_AZ_NE_OH,-3
addr_state:TX,-3
addr_state:DE_MA_UT_GA_RI_WY_IL_MT_KS,4
addr_state:CT_ND_WA_CO_SC_WV_OR_NH_DC,12
addr_state:ID_VT,19
addr_state:ME,32
verification_status:Source Verified,2
verification_status:Not Verified,10
purpose:debt_consolidation,16
purpose:renewable_energy_moving,12
purpose:medical_wedding,10
purpose:other,16
purpose:house_vacation_major_purchase,14
purpose:home_improvement,14
purpose:credit_card,18
purpose:car,23
initial_list_status:w,1
term:36,7
mths_issue_d:12_16,202
mths_issue_d:16_19,130
mths_issue_d:19_22,82
mths_issue_d:22_24,64
mths_issue_d:24_26,51
mths_issue_d:26_30,38
mths_issue_d:30_35,23
mths_issue_d:35_40,13
mths_issue_d:40_70,-5
mths_issue_d:70_93,8
int_rate:5_7,62
int_rate:7_11,34
int_rate:11_15,21
int_rate:15_19,12
int_rate:19_23,5
funded_amnt:460_2475,20
funded_amnt:2475_4450,12
funded_amnt:4450_10375,2
funded_amnt:10375_16300,2
funded_amnt:36050+,1
annual_inc:18500_37500,4
annual_inc:37500_65500,11
annual_inc:65500_102500,18
annual_inc:102500_140000,25
annual_inc:140000+,29
installment:0_100,23
installment:100_250,23
installment:250_500,17
installment:500_1000,15
installment:1000_1300,10
inq_last_6mths:0,19
inq_last_6mths:1,11
inq_last_6mths:2,5
dti:0_4,-5
dti:4_8,-1
dti:8_12,-3
dti:12_16,-6
dti:16_20,-8
dti:20_24,-11
dti:24_28,-15
dti:28_32,-16
dti:32_36,-15
dti:36_40,-14
grade:G,0
home_ownership:OTHER,0
addr_state:IA,0
verification_status:Verified,0
purpose:educational_small_business,0
initial_list_status:f,0
term:60,0
mths_issue_d:93+,0
int_rate:23+,0
funded_amnt:16300_36050,0
annual_inc:18500-,0
installment:1300+,0
inq_last_6mths:2+,0
dti:40+,0
